date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-05-12|09:30:00|Cloud Hosting Monthly|AWS|-24.15
2023-05-18|14:22:10|45lb Bumper Plates (Pair)|Rogue Fitness|-165.00
2023-06-05|11:00:00|Invoice 1002 paid|Client Alpha|2200.00
2023-06-20|18:45:30|Protein Powder (5lb)|Optimum Nutrition|-74.99
2023-07-02|10:15:00|Mechanical Switch Set|Drop|-45.00
2023-07-15|12:00:00|Domain Renewal|Namecheap|-12.98
2023-08-10|08:45:20|Pre-Workout Supplement|GNC|-39.99
2023-08-22|15:30:00|Invoice 1003 paid|Beta Tech|1850.00
2023-09-05|13:12:45|Desk Mat (Extra Large)|Amazon|-29.50
2023-10-12|10:00:00|Lever Powerlifting Belt|SBD|-210.00
2023-10-25|16:40:00|Cursor IDE Subscription|Cursor|-20.00
2023-11-14|09:20:15|Coffee Beans (2lb)|Blue Bottle|-36.00
2023-12-01|11:00:00|Invoice 1004 paid|Joe|1500.00
2023-12-15|19:30:00|Holiday Gift|Steam|-60.00
2024-01-05|08:15:00|Annual Gym Membership|Gold's Gym|-550.00
2024-01-20|14:10:25|USB-C Docking Station|Anker|-120.00
2024-02-12|11:45:00|Invoice 1005 paid|Gamma Corp|3100.00
2024-02-28|17:05:10|Liquid Chalk|Amazon|-15.00
2024-03-15|09:00:00|ChatGPT Plus Subscription|OpenAI|-20.00
2024-03-25|13:22:00|Dual Monitor Arm|Mount-It|-85.00
2024-04-10|12:00:00|Invoice 1006 paid|Client Alpha|2200.00
2024-04-20|15:55:30|Knee Sleeves (7mm)|Rehband|-95.00
2024-05-05|10:30:45|Python Course License|Udemy|-14.99
2024-05-18|11:00:00|Invoice 1007 paid|Joe|1500.00
2024-06-12|14:20:00|External SSD (2TB)|Samsung|-180.00
2024-06-30|19:10:15|Dinner with Cousins|Local Bistro|-145.00
2024-07-15|09:45:00|Supabase Pro Tier|Supabase|-25.00
2024-08-02|11:00:00|Invoice 1008 paid|Beta Tech|1950.00
2024-08-15|16:30:20|Weightlifting Shoes|Adidas|-130.00
2024-09-05|10:00:00|IDE JetBrains License|JetBrains|-169.00
2024-09-22|12:15:00|Invoice 1009 paid|Joe|1500.00
2024-10-10|15:40:45|Wrist Wraps|Gangsta Wraps|-40.00
2024-10-28|08:20:00|Github Copilot Annual|GitHub|-100.00
2024-11-15|11:00:00|Invoice 1010 paid|Gamma Corp|3100.00
2024-11-30|13:50:10|Ergonomic Office Chair|Herman Miller|-1200.00
2024-12-15|18:25:30|Manga Box Set|Barnes & Noble|-110.00
2025-01-05|09:10:00|Whey Isolate (10lb)|MyProtein|-135.00
2025-01-22|11:00:00|Invoice 1011 paid|Client Alpha|2200.00
2025-02-10|14:40:00|Vertical Mouse|Logitech|-99.00
2025-02-28|12:00:00|Invoice 1012 paid|Joe|1500.00
2025-03-12|10:15:20|API Credits|Anthropic|-50.00
2025-03-25|15:30:45|Foam Roller|Rogue Fitness|-35.00
2025-04-05|11:00:00|Invoice 1013 paid|Beta Tech|2100.00
2025-04-18|13:20:00|Mechanical Keyboard Kit|Keychron|-160.00
2025-05-10|09:45:15|Multivitamins|Vitacost|-45.00
2025-05-22|11:00:00|Invoice 1014 paid|Joe|1500.00
2025-06-15|14:10:30|Noise Cancelling Headphones|Sony|-349.00
2025-07-01|10:00:00|Domain Renewal|Cloudflare|-9.00
2025-07-20|12:00:00|Invoice 1015 paid|Gamma Corp|3100.00
2025-08-12|16:50:00|Fractional Plates Set|MicroGainz|-55.00
2025-09-05|11:00:00|Invoice 1016 paid|Client Alpha|2200.00
2025-10-15|09:30:00|Vercel Pro Plan|Vercel|-20.00
2025-11-02|18:15:40|Group Game Night Snacks|Whole Foods|-65.00
2025-11-20|11:00:00|Invoice 1017 paid|Joe|1500.00
2025-12-10|14:20:00|Ultra-Wide Monitor|Dell|-750.00
2026-01-05|08:30:00|Yearly Gym Membership|Gold's Gym|-580.00
2026-02-14|11:00:00|Invoice 1018 paid|Beta Tech|2100.00
2026-03-10|15:20:10|React Native Plugin|Gumroad|-29.00
2026-04-12|11:00:00|Invoice 1019 paid|Joe|1500.00
2026-04-28|13:45:00|Home Office Lighting|Philips Hue|-120.00
2026-05-01|07:06:50|Invoice 1019 paid|Joe|23.0
